Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,370,37,1.000000,-0.051869,0.221773,0.070541,0.157209,1.026143,10.000000,0.393236,0.750377
2,743,74,1.000000,-0.022064,0.086659,0.066127,0.085341,0.508258,10.000000,0.616281,0.750377
3,462,46,1.000000,0.057372,-0.013082,0.055372,0.065620,0.492250,10.000000,0.625315,0.750377
4,1627,162,1.000000,0.021775,0.064653,0.057961,0.068351,0.517657,10.000000,0.611050,0.750377
5,2948,294,1.000000,0.035150,0.084434,0.039756,0.065223,1.258318,10.000000,0.325508,0.750377
6,644,64,1.000000,-0.003962,-0.003510,0.047337,0.019337,0.027150,10.000000,0.973287,0.973287
