Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.599368,0.449821,0.149548,0.152867,0.134698,0.084050,4.195910,9.000000,0.040914,0.071600
2,3322,332,1.000000,0.539245,0.426328,0.112917,0.107399,0.099822,0.033629,7.570277,9.000000,0.007832,0.054826
3,1525,152,1.000000,0.053828,-0.215565,0.269392,0.104845,0.123939,0.068202,4.306786,9.000000,0.038345,0.071600
4,4182,418,1.000000,0.038213,-0.076000,0.114213,0.056992,0.057226,0.041536,2.093301,9.000000,0.171407,0.203621
5,3419,341,1.000000,0.136169,0.013103,0.123066,0.095927,0.075412,0.045203,2.070460,9.000000,0.174532,0.203621
6,1313,131,1.000000,0.080810,-0.004637,0.085447,0.150005,0.216701,0.090580,0.759200,9.000000,0.544645,0.544645
7,4051,405,1.000000,0.252697,0.205645,0.047052,0.062635,0.051826,0.037806,4.860296,9.000000,0.028099,0.071600
