"newSubjectName","category","meanRT"
"KAN_RHnonlit_01","joke",0.689473752975464
"KAN_RHnonlit_01","nonjoke",0.706158870061238
"KAN_RHnonlit_02","joke",0.946828904904817
"KAN_RHnonlit_02","nonjoke",1.05649928197469
"KAN_RHnonlit_03","joke",0.802763477752083
"KAN_RHnonlit_03","nonjoke",1.00411903690284
"KAN_RHnonlit_04","joke",0.743120390435923
"KAN_RHnonlit_04","nonjoke",0.662381181177103
"KAN_RHnonlit_05","joke",0.9152975858644
"KAN_RHnonlit_05","nonjoke",1.08325312038263
"KAN_RHnonlit_06","joke",0.911358194351196
"KAN_RHnonlit_06","nonjoke",1.01087043835567
"KAN_RHnonlit_07","joke",1.0803273624844
"KAN_RHnonlit_07","nonjoke",0.886839206828627
"KAN_RHnonlit_08","joke",0.695126300766355
"KAN_RHnonlit_08","nonjoke",1.22485066950321
"KAN_RHnonlit_09","joke",0.903964261619412
"KAN_RHnonlit_09","nonjoke",1.00870912215289
"KAN_RHnonlit_10","joke",0.917813612067181
"KAN_RHnonlit_10","nonjoke",1.01973909398784
"KAN_RHnonlit_11","joke",0.811032407137812
"KAN_RHnonlit_11","nonjoke",0.859922579356602
"KAN_RHnonlit_12","joke",1.04104203482469
"KAN_RHnonlit_12","nonjoke",0.938480663299561
