Contrast name:,Group (S)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.811357,0.148624,5.459128,11.000000,0.000099,0.000149
2,1627,162,1.000000,0.974930,0.146243,6.666530,11.000000,0.000018,0.000053
3,644,64,1.000000,0.128535,0.112850,1.138994,11.000000,0.139451,0.139451
4,743,74,1.000000,0.992988,0.144902,6.852844,11.000000,0.000014,0.000053
5,462,46,1.000000,0.768004,0.160592,4.782345,11.000000,0.000285,0.000342
6,370,37,1.000000,0.904992,0.164239,5.510196,11.000000,0.000092,0.000149
